#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
        mt19937|              random.128plus.out|  2.38e+08  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
      rgb_lagged_sum|  20|   1000000|     100|0.96277418|  PASSED  
      rgb_lagged_sum|  21|   1000000|     100|0.91738332|  PASSED  
      rgb_lagged_sum|  22|   1000000|     100|0.08940842|  PASSED  
      rgb_lagged_sum|  23|   1000000|     100|0.59754349|  PASSED  
      rgb_lagged_sum|  24|   1000000|     100|0.74153651|  PASSED  
      rgb_lagged_sum|  25|   1000000|     100|0.50607552|  PASSED  
      rgb_lagged_sum|  26|   1000000|     100|0.55518672|  PASSED  
      rgb_lagged_sum|  27|   1000000|     100|0.65978227|  PASSED  
      rgb_lagged_sum|  28|   1000000|     100|0.10694906|  PASSED  
      rgb_lagged_sum|  29|   1000000|     100|0.19534945|  PASSED  
      rgb_lagged_sum|  30|   1000000|     100|0.73659421|  PASSED  
      rgb_lagged_sum|  31|   1000000|     100|0.05054599|  PASSED  
      rgb_lagged_sum|  32|   1000000|     100|0.99208878|  PASSED  
     rgb_kstest_test|   0|     10000|    1000|0.80919265|  PASSED  
     dab_bytedistrib|   0|  51200000|       1|0.75740513|  PASSED  
             dab_dct| 256|     50000|       1|0.07547150|  PASSED  
Preparing to run test 207.  ntuple = 0
        dab_filltree|  32|  15000000|       1|0.15840765|  PASSED  
        dab_filltree|  32|  15000000|       1|0.63183080|  PASSED  
Preparing to run test 208.  ntuple = 0
       dab_filltree2|   0|   5000000|       1|0.80901383|  PASSED  
       dab_filltree2|   1|   5000000|       1|0.28170518|  PASSED  
Preparing to run test 209.  ntuple = 0
        dab_monobit2|  12|  65000000|       1|0.72732379|  PASSED  
